Iteration;Amplitude
527;6,34E-05
528;6,40E-05
529;6,41E-05
530;6,45E-05
531;6,49E-05
532;6,53E-05
533;6,57E-05
534;6,62E-05
535;6,64E-05
536;6,70E-05
537;6,72E-05
538;6,75E-05
539;6,79E-05
540;6,85E-05
541;6,90E-05
542;6,92E-05
543;6,96E-05
544;7,00E-05
545;7,02E-05
546;7,06E-05
547;7,07E-05
548;7,12E-05
549;7,10E-05
550;7,13E-05
551;7,13E-05
552;7,14E-05
553;7,13E-05
554;7,14E-05
555;7,12E-05
556;7,10E-05
557;7,08E-05
558;7,06E-05
559;7,05E-05
560;7,01E-05
561;7,02E-05
562;6,99E-05
563;6,95E-05
564;6,92E-05
565;6,91E-05
566;6,85E-05
567;6,84E-05
568;6,80E-05
569;6,79E-05
570;6,74E-05
571;6,71E-05
572;6,65E-05
573;6,64E-05
574;6,60E-05
575;6,55E-05
576;6,52E-05
577;6,49E-05
578;6,45E-05
579;6,42E-05
580;6,38E-05
581;6,35E-05
582;6,30E-05
583;6,28E-05
584;6,23E-05
585;6,20E-05
586;6,16E-05
587;6,13E-05
588;6,08E-05
589;6,03E-05
590;6,02E-05
591;5,99E-05
592;5,96E-05
593;5,91E-05
594;5,87E-05
595;5,83E-05
596;5,80E-05
597;5,79E-05
598;5,74E-05
599;5,70E-05
600;5,66E-05
601;5,63E-05
602;5,61E-05
603;5,59E-05
604;5,55E-05
605;5,50E-05
606;5,48E-05
607;5,45E-05
608;5,42E-05
609;5,41E-05
610;5,40E-05
611;5,40E-05
612;5,41E-05
613;5,39E-05
614;5,39E-05
615;5,41E-05
616;5,41E-05
617;5,43E-05
618;5,45E-05
619;5,47E-05
620;5,51E-05
621;5,53E-05
622;5,55E-05
623;5,59E-05
624;5,64E-05
625;5,64E-05
626;5,66E-05
627;5,70E-05
628;5,74E-05
629;5,76E-05
630;5,80E-05
631;5,84E-05
632;5,88E-05
633;5,92E-05
634;5,94E-05
635;5,98E-05
636;6,00E-05
637;6,06E-05
638;6,10E-05
639;6,13E-05
640;6,16E-05
641;6,20E-05
642;6,26E-05
643;6,31E-05
644;6,32E-05
645;6,35E-05
646;6,40E-05
647;6,44E-05
648;6,46E-05
649;6,51E-05
650;6,53E-05
651;6,57E-05
652;6,60E-05
653;6,66E-05
654;6,69E-05
655;6,73E-05
656;6,75E-05
657;6,83E-05
658;6,84E-05
659;6,89E-05
660;6,93E-05
661;6,94E-05
662;7,00E-05
663;7,02E-05
664;7,09E-05
665;7,11E-05
666;7,13E-05
667;7,16E-05
668;7,17E-05
669;7,20E-05
670;7,21E-05
671;7,20E-05
672;7,20E-05
673;7,19E-05
674;7,20E-05
675;7,18E-05
676;7,16E-05
677;7,15E-05
678;7,14E-05
679;7,13E-05
680;7,10E-05
681;7,08E-05
682;7,04E-05
683;7,01E-05
684;6,97E-05
685;6,98E-05
686;6,94E-05
687;6,92E-05
688;6,88E-05
689;6,85E-05
690;6,80E-05
691;6,77E-05
692;6,73E-05
693;6,71E-05
694;6,68E-05
695;6,63E-05
696;6,61E-05
697;6,54E-05
698;6,53E-05
699;6,46E-05
700;6,43E-05
701;6,42E-05
702;6,39E-05
703;6,33E-05
704;6,30E-05
705;6,27E-05
706;6,23E-05
707;6,17E-05
708;6,13E-05
709;6,12E-05
710;6,09E-05
711;6,04E-05
712;6,01E-05
713;5,99E-05
714;5,94E-05
715;5,91E-05
716;5,88E-05
717;5,84E-05
718;5,81E-05
719;5,76E-05
720;5,74E-05
721;5,69E-05
722;5,66E-05
723;5,64E-05
724;5,60E-05
725;5,56E-05
726;5,52E-05
727;5,51E-05
728;5,49E-05
729;5,48E-05
730;5,50E-05
731;5,49E-05
732;5,48E-05
733;5,47E-05
734;5,49E-05
735;5,50E-05
736;5,50E-05
737;5,49E-05
738;5,51E-05
739;5,56E-05
740;5,59E-05
741;5,60E-05
742;5,62E-05
743;5,65E-05
744;5,67E-05
745;5,70E-05
746;5,74E-05
747;5,77E-05
748;5,80E-05
749;5,86E-05
750;5,88E-05
751;5,89E-05
752;5,94E-05
753;5,97E-05
754;6,02E-05
755;6,04E-05
756;6,10E-05
757;6,12E-05
758;6,16E-05
759;6,20E-05
760;6,25E-05
761;6,28E-05
762;6,31E-05
763;6,36E-05
764;6,40E-05
765;6,44E-05
766;6,46E-05
767;6,52E-05
768;6,55E-05
769;6,59E-05
770;6,62E-05
771;6,65E-05
772;6,70E-05
773;6,75E-05
774;6,78E-05
775;6,82E-05
776;6,86E-05
777;6,89E-05
778;6,94E-05
779;6,96E-05
780;7,00E-05
781;7,04E-05
782;7,07E-05
783;7,12E-05
784;7,15E-05
785;7,19E-05
786;7,23E-05
787;7,24E-05
788;7,26E-05
789;7,29E-05
790;7,30E-05
791;7,32E-05
792;7,31E-05
793;7,31E-05
794;7,30E-05
795;7,31E-05
796;7,29E-05
797;7,25E-05
798;7,24E-05
799;7,22E-05
800;7,22E-05
801;7,17E-05
802;7,15E-05
803;7,12E-05
804;7,11E-05
805;7,05E-05
806;7,01E-05
807;6,99E-05
808;6,97E-05
809;6,91E-05
810;6,87E-05
811;6,85E-05
812;6,81E-05
813;6,79E-05
814;6,73E-05
815;6,73E-05
816;6,69E-05
817;6,65E-05
818;6,59E-05
819;6,59E-05
820;6,52E-05
821;6,49E-05
822;6,46E-05
823;6,41E-05
824;6,37E-05
825;6,34E-05
826;6,31E-05
827;6,28E-05
828;6,23E-05
829;6,21E-05
830;6,16E-05
